model_id,weight,log_likelihood
run5,0.05099319901136455,-2.3016549894560545
run9,0.04968896476188879,-2.3275643891051803
run18,0.047646466541890885,-2.369538787639056
run1,0.04682824466769906,-2.386860721149668
run2,0.04392314382088594,-2.4509058853090044
run6,0.04374492677430863,-2.4549716139343407
run14,0.04318991486451634,-2.467740244784188
run7,0.04252842312489235,-2.4831746287634626
run15,0.04081105348208478,-2.5243942971729476
run19,0.039496428049187376,-2.557137021886155
run21,0.03866280631296849,-2.5784691998491107
run11,0.03777924849412009,-2.601587290326859
run8,0.03728681751046269,-2.614707414336908
run26,0.03703376974022234,-2.621517068497312
run16,0.03695960344320181,-2.6235217432044506
run13,0.03562665792142552,-2.6602530849185473
run17,0.03498002219818921,-2.678570156382915
run25,0.033923202049829064,-2.709248054047553
run20,0.03306198447160847,-2.7349631436139634
run12,0.03303945293808161,-2.7356448696181905
run24,0.032664983204383796,-2.7470436064549424
run23,0.03209897171991354,-2.764523264594445
run3,0.031321448099275145,-2.789044154906964
run10,0.030963997144609144,-2.8005221134437837
run4,0.024544000853056244,-3.032879800628726
run27,0.023212213612872745,-3.088668671592358
run22,0.01799005518706132,-3.3435281449599352
